epoch	product_id	open_px	high_px	low_px	close_px	cost_basis	unit_ccy	nop	pnl_ccy	open_pnl	high_pnl	low_pnl	close_pnl
1549946100									JPY	-1.015717900	-0.971318000	-1.015717900	-0.971318000
1549946100	5	394386	394386	394386	394386	394692.910	BTC	0.0100	JPY	-0.9713180	-0.9713180	-0.9713180	-0.9713180
1549946160									JPY	-0.971318000	-0.841918000	-0.971318000	-0.841918000
1549946160	5	394398.94	394398.94	394398.94	394398.94	394692.910	BTC	0.0100	JPY	-0.8419180	-0.8419180	-0.8419180	-0.8419180
1549946220									JPY	-0.841918000	-0.841918000	-1.547018000	-1.547018000
1549946220	5	394328.43	394328.43	394328.43	394328.43	394692.910	BTC	0.0100	JPY	-1.5470180	-1.5470180	-1.5470180	-1.5470180
1549946280									JPY	-1.547018000	-1.086218000	-1.547018000	-1.086218000
1549946280	5	394374.51	394374.51	394374.51	394374.51	394692.910	BTC	0.0100	JPY	-1.0862180	-1.0862180	-1.0862180	-1.0862180
1549946340									JPY	-1.086218000	-0.927618000	-1.086218000	-0.927618000
1549946340	5	394390.37	394390.37	394390.37	394390.37	394692.910	BTC	0.0100	JPY	-0.9276180	-0.9276180	-0.9276180	-0.9276180
1549946457									JPY	-0.927618000	2.420882000	-1.185118000	2.380882000
1549946457	5	394364.62	394725.220	394364.62	394557.650	NaN	BTC	0.0000	JPY	-1.1851180	2.4208820	-1.1851180	2.3808820
1549946460									JPY	2.380882000	2.380882000	2.380882000	2.380882000
1549946572									JPY	2.380882000	3.772882000	2.380882000	3.772882000
1549946572	5	394692.020	394802.040	394692.020	394773.000	NaN	BTC	0.0000	JPY	2.3808820	3.7728820	2.3808820	3.7728820
1549946606									JPY	3.772882000	4.058232000	3.772882000	4.058232000
1549946606	5	394689.000	394689.000	394660.465	394660.465	NaN	BTC	0.0000	JPY	3.7728820	4.0582320	3.7728820	4.0582320
1549946747									JPY	4.058232000	4.058232000	4.058232000	4.058232000
1549946747	5	394612.860	394612.860	394612.860	394612.860	394612.860	BTC	0.0100	JPY	4.0582320	4.0582320	4.0582320	4.0582320
1549946773									JPY	4.058232000	4.636032000	4.058232000	4.636032000
1549946773	5	394670.640	394670.640	394670.640	394670.640	NaN	BTC	0.0000	JPY	4.6360320	4.6360320	4.6360320	4.6360320
1549946820									JPY	4.636032000	4.636032000	4.636032000	4.636032000
1549946985									JPY	4.636032000	5.948422000	4.636032000	5.938422000
1549946985	5	394605.660	394662.049	393954.220	394075.090	394075.090	BTC	0.0100	JPY	4.6360320	5.9484220	4.6360320	5.9384220
1549947002									JPY	5.938422000	9.187522000	5.327422000	5.327422000
1549947002	5	394400	394400	394013.990	394127.559	394127.559	BTC	-0.0100	JPY	9.1875220	9.1875220	5.3274220	5.3274220
1549947060									JPY	5.327422000	5.327422000	4.829112000	4.829112000
1549947060	5	394177.39	394177.39	394177.39	394177.39	394127.559	BTC	-0.0100	JPY	4.8291120	4.8291120	4.8291120	4.8291120
1549947120									JPY	4.829112000	4.829112000	3.650412000	3.650412000
1549947120	5	394295.26	394295.26	394295.26	394295.26	394127.559	BTC	-0.0100	JPY	3.6504120	3.6504120	3.6504120	3.6504120
1549947180									JPY	3.650412000	4.891812000	3.650412000	4.891812000
1549947180	5	394171.12	394171.12	394171.12	394171.12	394127.559	BTC	-0.0100	JPY	4.8918120	4.8918120	4.8918120	4.8918120
1549947240									JPY	4.891812000	4.891812000	3.353012000	3.353012000
1549947240	5	394325	394325	394325	394325	394127.559	BTC	-0.0100	JPY	3.3530120	3.3530120	3.3530120	3.3530120
1549947420									JPY	3.353012000	3.353012000	3.163012000	3.163012000
